ENTREZID	SYMBOL
100506144	TMEM35B
9204	ZMYM6
79830	ZMYM1
6421	SFPQ
9202	ZMYM4
79932	KIAA0319L
23154	NCDN
5690	PSMB2
127703	C1orf216
63967	CLSPN
192670	AGO4
26523	AGO1
192669	AGO3
54936	ADPRS
1296	COL8A2
27095	TRAPPC3
55700	MAP7D1
9967	THRAP3
79729	SH3D21
55194	EVA1B
83931	STK40
84967	LSM10
127700	OSCP1
64960	MRPS15
728431	LITATS1
80149	ZC3H12A
64769	MEAF6
79753	SNIP1
29889	GNL2
54955	AIRIM
55143	CDCA8
149175	MANEAL
79693	YRDC
127687	C1orf122
4520	MTF1
3633	INPP5B
10946	SF3A3
2275	FHL3
51118	UTP11
64121	RRAGC
54933	RHBDL2
79647	AKIRIN1
4725	NDUFS5
23499	MACF1
643314	NA
8761	PABPC4
10450	PPIE
656	BMP8B
54802	TRIT1
4610	MYCL
84879	MFSD2A
10487	CAP1
5538	PPT1
6018	RLF
10269	ZMPSTE24
1298	COL9A2
64744	SMAP2
65243	ZFP69B
339559	ZFP69
64789	EXO5
127396	ZNF684
9783	RIMS3
100130557	NFYC-AS1
4802	NFYC
9132	KCNQ4
163732	CITED4
1503	CTPS1
100507178	SLFNL1-AS1
200172	SLFNL1
22955	SCMH1
59269	HIVEP3
22887	FOXJ3
284716	RIMKLA
79717	PPCS
10465	PPIH
4904	YBX1
64175	P3H1
79078	C1orf50
374969	SVBP
114625	ERMAP
51058	ZNF691
6513	SLC2A1
10969	EBNA1BP2
128218	TMEM125
149466	C1orf210
991	CDC20
64834	ELOVL1
112950	MED8
23334	SZT2
5792	PTPRF
9682	KDM4A
100132774	KDM4A-AS1
6487	ST3GAL3
9048	ARTN
9670	IPO13
1802	DPH2
533	ATP6V0B
8704	B4GALT2
149473	CCDC24
6536	SLC6A9
55929	DMAP1
79033	ERI3
55182	RNF220
79639	TMEM53
11004	KIF2C
6202	RPS8
1263	PLK3
149478	BTBD19
8891	EIF2B3
79654	HECTD3
7389	UROD
84842	HPDL
4595	MUTYH
114034	TOE1
10420	TESK2
126661	CCDC163
25974	MMACHC
5052	PRDX1
10327	AKR1A1
4678	NASP
149483	CCDC17
60313	GPBP1L1
51249	TMEM69
3652	IPP
23139	MAST2
8503	PIK3R3
10103	TSPAN1
55624	POMGNT1
8438	RAD54L
10489	LRRC41
7388	UQCRH
387338	NSUN4
127343	DMBX1
8569	MKNK1
148932	MOB3C
64756	ATPAF1
9813	EFCAB14
260293	CYP4X1
10158	PDZK1IP1
6491	STIL
51727	CMPK1
84793	FOXD2-AS1
2306	FOXD2
63950	DMRTA2
11124	FAF1
1031	CDKN2C
26994	RNF11
22996	TTC39A
2060	EPS15
114883	OSBPL9
4898	NRDC
51060	TXNDC12
91408	BTF3L4
9372	ZFYVE9
200014	CC2D1B
4998	ORC1
84950	PRPF38A
23318	TUT4
65260	COA7
79699	ZYG11B
55268	ECHDC2
6342	SCP2
1376	CPT2
54987	CZIB
4116	MAGOH
7804	LRP8
55706	NDC1
54432	YIPF1
51668	IFT25
115353	LRRC42
9528	TMEM59
127428	TCEANC2
606495	CYB5RL
51253	MRPL37
23648	SSBP3
26027	ACOT11
25973	PARS2
55001	TTC22
1718	DHCR24
199964	TMEM61
255738	PCSK9
23358	USP24
8613	PLPP3
5563	PRKAA2
115209	OMA1
4070	TACSTD2
114803	MYSM1
3725	JUN
55277	FGGY
51361	HOOK1
1573	CYP2J2
4774	NFIA
83941	TM2D1
10207	PATJ
7398	USP1
85440	DOCK7
84938	ATG4C
29929	ALG6
23421	ITGB3BP
84455	EFCAB7
5236	PGM1
4919	ROR1
57685	CACHD1
55225	RAVER2
3716	JAK1
205	AK4
9829	DNAJC6
54741	LEPROT
3953	LEPR
79819	DNAI4
57708	MIER1
23169	SLC35D1
26135	SERBP1
1647	GADD45A
55970	GNG12
79971	WLS
6121	RPE65
55635	DEPDC1
57554	LRRC7
55631	LRRC40
9295	SRSF11
81573	ANKRD13C
11147	ANKRD13C-DT
1491	CTH
100132618	ZRANB2-AS1
9406	ZRANB2
8790	FPGT
1429	CRYZ
127253	TYW3
204962	SLC44A5
34	ACADM
1744	DLSTP1
5876	RABGGTB
26805	SNORD45A
81849	ST6GALNAC5
10026	PIGK
26009	ZZZ3
23032	USP33
374986	MIGA1
91624	NEXN
8880	FUBP1
11080	DNAJB4
54810	GIPC2
10964	IFI44L
10561	IFI44
79739	TTLL7
5567	PRKACB
148418	SAMD13
80135	RPF1
2787	GNG5
1486	CTBS
117178	SSX2IP
23566	LPAR3
255231	MCOLN2
55283	MCOLN3
126820	DNAI3
84144	SYDE2
148423	C1orf52
8915	BCL10
23576	DDAH1
3491	CCN1
54680	ZNHIT6
57489	ODF2L
9635	CLCA2
22802	CLCA4
9629	CLCA3P
105378828	CLCA4-AS1
51100	SH3GLB1
9403	SELENOF
9653	HS2ST1
8543	LMO4
5586	PKN2
2959	GTF2B
56267	KYAT3
494115	RBMXL1
2635	GBP3
2633	GBP1
2634	GBP2
115361	GBP4
115362	GBP5
163351	GBP6
400759	GBP1P1
23507	LRRC8B
84230	LRRC8C
55144	LRRC8D
492303	GEMIN8P4
284695	ZNF326
84146	ZNF644
8317	CDC7
7049	TGFBR3
253152	EPHX4
23285	NA
11146	GLMN
79871	RPAP2
2672	GFI1
7813	EVI5
6125	RPL5
388650	DIPK1A
22823	MTF2
50999	TMED5
343099	CCDC18
100131564	CCDC18-AS1
1810	DR1
54874	FNBP1L
8412	BCAR3
30836	DNTTIP2
2730	GCLM
9411	ARHGAP29
5825	ABCD3
2152	F3
101928079	SLC44A3-AS1
126969	SLC44A3
1266	CNN3
729970	CNN3-DT
199857	ALG14
148534	TLCD4
25950	RWDD3
58155	PTBP2
1806	DPYD
51375	SNX7
54873	PALMD
391059	FRRS1
178	AGL
23443	SLC35A3
64645	MFSD14A
163786	SASS6
54482	TRMT13
127495	LRRC39
1629	DBT
8634	RTCA
8556	CDC14A
2135	EXTL2
148867	SLC30A7
51611	DPH5
102606465	DPH5-DT
1901	S1PR1
55599	RNPC3
280	AMY2B
55170	PRMT6
10451	VAV3
29957	SLC25A24
284611	EEIG2
113802	HENMT1
55119	PRPF38B
6814	STXBP3
29899	GPSM2
23155	CLCC1
22911	WDR47
6884	TAF13
56900	TMEM167B
57535	ELAPOR1
6301	SARS1
1952	CELSR2
84722	PSRC1
6272	SORT1
5686	PSMA5
127002	ATXN7L2
284613	CYB561D1
57463	AMIGO1
2773	GNAI3
2780	GNAT2
271	AMPD2
2948	GSTM4
2947	GSTM3
79574	EPS8L3
1435	CSF1
10768	AHCYL1
85369	STRIP1
257	ALX3
3749	KCNC4
64783	RBM15
9122	SLC16A4
10542	LAMTOR5
55791	LRIF1
128338	DRAM2
10390	CEPT1
79961	DENND2D
79084	WDR77
515	ATP5PB
5906	RAP1A
55924	INKA2
11218	DDX20
55917	CTTNBP2NL
54879	ST7L
829	CAPZA1
4343	MOV10
389	RHOC
333926	PPM1J
6566	SLC16A1
100506392	SLC16A1-AS1
9860	LRIG2
260425	MAGI3
10745	PHTF1
54665	RSBN1
440603	BCL2L15
10717	AP4B1
64858	DCLRE1B
204851	HIPK1
51592	TRIM33
10286	BCAS2
163259	DENND2C
4893	NRAS
7812	CSDE1
80143	SIKE1
81839	VANGL1
55356	SLC22A15
476	ATP1A1
84852	ATP1A1-AS1
965	CD58
3321	IGSF3
5738	PTGFRN
9398	CD101
8458	TTF2
80263	TRIM45
10905	MAN1A2
54855	TENT5C
54834	GDAP2
10885	WDR3
200162	SPAG17
6913	TBX15
10352	WARS2
101929147	WARS2-AS1
644242	LINC00622
90874	ZNF697
26227	PHGDH
4853	NOTCH2
9554	SEC22B
728841	NBPF8
100996724	PDE4DIPP2
101929796	NOTCH2NLR
101060684	NBPF26
728855	LINC00623
337875	H2BP1
653820	FAM72B
653464	SRGAP2C
647121	EMBP1
554282	FAM72C
100996712	SRGAP2D
284565	NBPF15
647135	SRGAP2B
728833	FAM72D
103091866	LINC01145
100288142	NBPF20
653519	GPR89A
27246	RNF115
10623	POLR3C
200035	NUDT17
10401	PIAS3
8799	PEX11B
114814	GNRHR2
9939	RBM8A
128077	LIX1L
84265	POLR3GL
284615	ANKRD34A
10628	TXNIP
100132406	NBPF10
388677	NOTCH2NLA
149013	NBPF12
5565	PRKAB2
171423	PDIA3P1
9557	CHD1L
607	BCL9
51205	ACP6
51463	GPR89B
200030	NBPF11
388685	LINC01138
25832	NBPF14
100996763	NOTCH2NLB
440672	NUDT4B
9659	PDE4DIP
400818	NBPF9
101060226	NBPF19
57234	LINC00869
440689	H2BC18
8349	H2BC21
51027	BOLA1
10262	SF3B4
10903	MTMR11
56957	OTUD7B
11311	VPS45
51177	PLEKHO1
81611	ANP32E
51107	APH1A
148523	CIART
54460	MRPS21
9129	PRPF3
23248	RPRD2
80222	TARS2
1893	ECM1
54507	ADAMTSL4
4170	MCL1
2029	ENSA
55204	GOLPH3L
84072	HORMAD1
1520	CTSS
1513	CTSK
405	ARNT
9869	SETDB1
29956	CERS2
8416	ANXA9
55793	MINDY1
58497	PRUNE1
54964	C1orf56
56882	CDC42SE1
10962	MLLT11
126626	GABPB2
388695	LYSMD1
6944	VPS72
8394	PIP5K1A
5710	PSMD4
57592	ZNF687
5298	PI4KB
5993	RFX5
8991	SELENBP1
5692	PSMB4
23126	POGZ
57530	CGN
7286	TUFT1
81609	SNX27
65005	MRPL9
11022	TDRKH
117145	THEM4
6281	S100A10
6282	S100A11
7062	TCHH
388697	HRNR
2312	FLG
339400	FLG-AS1
6698	SPRR1A
6707	SPRR3
6699	SPRR1B
6703	SPRR2D
6700	SPRR2A
6704	SPRR2E
6702	SPRR2C
57115	PGLYRP4
6280	S100A9
6277	S100A6
6275	S100A4
101928034	LOC101928034
6274	S100A3
6273	S100A2
140576	S100A16
57402	S100A14
6284	S100A13
26097	CHTOP
23557	SNAPIN
3608	ILF2
65123	INTS3
57459	GATAD2B
9909	DENND4B
200186	CRTC2
27173	SLC39A1
148327	CREB3L4
10899	JTB
5872	RAB13
6232	RPS27
7170	TPM3
25912	C1orf43
9898	UBAP2L
10456	HAX1
3570	IL6R
55585	UBE2Q1
103	ADAR
10654	PMVK
57326	PBXIP1
90780	PYGO2
6464	SHC1
1163	CKS1B
80308	FLAD1
51043	ZBTB7B
100505666	DCST1-AS1
8751	ADAM15
1945	EFNA4
1944	EFNA3
1942	EFNA1
55974	SLC50A1
54344	DPM3
200185	KRTCAP2
4582	MUC1
7059	THBS3
4580	MTX1
2224	FDPS
23623	RUSC1
55870	ASH1L
645676	ASH1L-AS1
55154	MSTO1
55249	YY1AP1
7818	DAP3
100129405	MSTO2P
54856	GON4L
6016	RIT1
22889	KHDC4
9181	ARHGEF2
6746	SSR2
56893	UBQLN4
28956	LAMTOR2
57111	RAB25
92312	MEX3A
4000	LMNA
64218	SEMA4A
9673	SLC25A44
11243	PMF1
79957	PAQR6
23381	SMG5
84283	TMEM79
112770	GLMP
7203	CCT3
4209	MEF2D
128239	IQGAP3
128240	NAXE
54865	GPATCH4
63827	BCAN
10763	NES
1382	CRABP2
81875	ISG20L2
51093	METTL25B
79590	MRPL24
3068	HDGF
5546	PRCC
9047	SH2D2A
375033	PEAR1
9826	ARHGEF11
2117	ETV3
55243	KIRREL1
3428	IFI16
9447	AIM2
54935	DUSP23
25790	CFAP45
8407	TAGLN2
57549	IGSF9
93183	PIGM
93185	IGSF8
8682	PEA15
50717	DCAF8
5824	PEX19
1314	COPA
23385	NCSTN
57216	VANGL2
50848	F11R
100131187	TSTD1
7391	USF1
257106	ARHGAP30
81607	NECTIN4
5202	PFDN2
4817	NIT1
9191	DEDD
51506	UFC1
27005	USP21
5498	PPOX
8703	B4GALT3
4720	NDUFS2
84134	TOMM40L
6391	SDHC
257177	CFAP126
11266	DUSP12
22926	ATF6
9722	NOS1AP
400793	C1orf226
127933	UHMK1
6675	UAP1
51478	HSD17B7
339512	CCDC190
5999	RGS4
8490	RGS5
83540	NUF2
5087	PBX1
4259	MGST3
223	ALDH9A1
54499	TMCO1
7371	UCK2
57645	POGK
117143	TADA1
5451	POU2F1
8804	CREG1
9019	MPZL1
25874	MPC2
55827	DCAF6
23432	GPR161
261726	TIPRL
375035	SFT2D2
84832	ANKRD36BP1
9095	TBX19
101928596	LOC101928596
481	ATP1B1
29922	NME7
8548	BLZF1
10560	SLC19A2
2153	F5
6403	SELP
6402	SELL
92342	METTL18
55732	FIRRM
57147	SCYL3
22920	KIFAP3
92344	GORAB
2328	FMO3
23215	PRRC2C
8674	VAMP4
51603	METTL13
26052	DNM3
5279	PIGC
51430	SUCO
8995	TNFSF18
9588	PRDX6
27252	KLHL20
91687	CENPL
55157	DARS2
60674	GAS5
26806	SNORD44
84614	ZBTB37
149041	RC3H1
9910	RABGAP1L
27101	CACYBP
63931	MRPS14
9674	KIAA0040
64326	COP1
89866	SEC16B
730102	CRYZL2P
100302401	RASAL2-AS1
9462	RASAL2
55103	RALGPS2
9917	FAM20B
64222	TOR3A
27	ABL2
6646	SOAT1
163590	TOR1AIP2
26092	TOR1AIP1
9857	CEP350
5768	QSOX1
200058	NA
89884	LHX4
100527964	LHX4-AS1
84320	ACBD6
9213	XPR1
10228	STX6
3140	MR1
51278	IER5
2752	GLUL
6041	RNASEL
6004	RGS16
80896	NPL
1660	DHX9
3915	LAMC1
3918	LAMC2
23057	NMNAT2
9887	SMG7
4688	NCF2
10092	ARPC5
23179	RGL1
116461	TSEN15
81563	C1orf21
80267	EDEM3
116496	NIBAN1
6045	RNF2
81627	TRMT1L
54823	SWT1
10625	IVNS1ABP
7175	TPR
54953	ODR4
5743	PTGS2
103752588	PACERR
5321	PLA2G4A
100616345	MIR4426
5997	RGS2
51377	UCHL5
6738	RO60
51022	GLRX2
79577	CDC73
3075	CFH
10878	CFHR3
259266	ASPM
360023	ZBTB41
163486	DENND1B
140609	NEK7
23528	ZNF281
9928	KIF14
83479	DDX59
23271	CAMSAP2
55765	INAVA
23046	KIF21B
252839	TMEM9
5317	PKP1
3898	LAD1
23612	PHLDA3
1465	CSRP1
89796	NAV1
55705	IPO9
10440	TIMM17A
6051	RNPEP
1999	ELF3
127829	ARL8A
59352	LGR6
29089	UBE2T
4660	PPP1R12B
127833	SYT2
10765	KDM5B
5877	RABIF
59349	KLHL12
51094	ADIPOR1
51706	CYB5R1
92703	TMEM183A
8497	PPFIA4
7832	BTG2
493	ATP2B4
9877	ZC3H11A
100381270	ZBED6
6635	SNRPE
9580	SOX13
55224	ETNK2
22874	PLEKHA6
84919	PPP1R15B
5287	PIK3C2B
4194	MDM4
23114	NFASC
5929	RBBP5
25778	DSTYK
81788	NUAK2
5129	CDK18
148808	MFSD4A
2005	ELK4
85414	SLC45A3
64710	NUCKS1
8934	RAB29
254428	SLC41A1
284581	PM20D1-AS1
1510	CTSE
729533	FAM72A
23380	SRGAP2
9641	IKBKE
83593	RASSF5
1939	EIF2D
8444	DYRK3
9261	MAPKAPK2
29949	IL19
9214	FCMR
5284	PIGR
79098	C1orf116
5208	PFKFB2
55432	YOD1
725	C4BPB
1604	CD55
4179	CD46
5362	PLXNA2
642587	MIR205HG
406988	MIR205
3914	LAMB3
50486	G0S2
80342	TRAF3IP3
148304	C1orf74
3664	IRF6
27042	UTP25
56256	SERTAD4
55758	RCOR3
7188	TRAF5
84791	LINC00467
7779	SLC30A1
4751	NEK2
9926	LPGAT1
25896	INTS7
51514	DTL
100131205	RPL21P28
5525	PPP2R5A
55248	PACC1
29937	NENF
467	ATF3
25936	NSL1
128387	TATDN3
642946	FLVCR1-DT
28982	FLVCR1
90806	ANGEL2
26750	RPS6KC1
56950	SMYD2
5784	PTPN14
1063	CENPF
51133	KCTD3
55105	GPATCH2
51018	RRP15
7042	TGFB2
127018	LYPLAL1
2058	EPRS1
10380	BPNT1
55699	IARS2
25782	RAB3GAP2
4139	MARK1
79762	C1orf115
54996	MTARC2
64757	MTARC1
11221	DUSP10
9015	TAF1A
375056	MIA3
64853	AIDA
148362	BROX
84976	DISP1
7100	TLR5
55061	SUSD4
824	CAPN2
7159	TP53BP2
105369195	NA
23219	FBXO28
8560	DEGS1
4931	NVL
29097	CNIH4
80232	WDR26
149111	CNIH3
127602	DNAH14
3930	LBR
55740	ENAH
6726	SRP9
2052	EPHX1
9725	TMEM63A
29920	PYCR2
163859	SDE2
3020	H3-3A
64746	ACBD3
286826	LIN9
142	PARP1
3707	ITPKB
5664	PSEN2
56997	COQ8A
8476	CDC42BPA
339500	ZNF678
65094	JMJD4
116841	SNAP47
7483	WNT9A
375	ARF1
79169	C1orf35
128308	MRPL55
2987	GUK1
200205	IBA57
84033	OBSCN
81559	TRIM11
92815	H2AC25
149603	RNF187
5867	RAB4A
126731	CCSAP
55746	NUP133
23456	ABCB10
27097	TAF5L
9816	URB2
2590	GALNT2
22796	COG2
84886	C1orf198
79573	TTC13
64801	ARV1
375061	FAM89A
128061	C1orf131
8443	GNPAT
149371	EXOC8
83932	SPRTN
54583	EGLN1
7257	TSNAX
57568	SIPA1L2
54627	MAP10
84284	NTPCR
80003	PCNX2
84451	MAP3K21
3775	KCNK1
388753	COA6
6894	TARBP1
359948	IRF2BP2
9804	TOMM20
23029	RBM34
51742	ARID4B
9453	GGPS1
6905	TBCE
148789	B3GALNT2
1130	LYST
7107	GPR137B
56605	ERO1B
3964	LGALS8
55127	HEATR1
4548	MTR
6262	RYR2
339535	LINC01139
1131	CHRM3
2271	FH
23596	OPN3
1122	CHML
9156	EXO1
9859	CEP170
10806	SDCCAG8
10472	ZBTB18
159	ADSS2
51029	DESI2
284702	NA
3192	HNRNPU
84288	EFCAB2
64754	SMYD3
64216	TFB2M
163882	CNST
51097	SCCPDH
25909	AHCTF1
93474	ZNF670
79862	ZNF669
7678	ZNF124
100500849	MIR3916
84838	ZNF496
80851	SH3BP5L
79894	ZNF672
55657	ZNF692
267002	PGBD2
10771	ZMYND11
22982	DIP2C
23185	LARP4B
23560	GTPBP4
91734	IDI2
3422	IDI1
22884	WDR37
5214	PFKP
10531	PITRM1
100507034	PITRM1-AS1
1316	KLF6
100216001	MANCR
83592	AKR1E2
1645	AKR1C1
1646	AKR1C2
8644	AKR1C3
10276	NET1
79754	ASB13
54906	TASOR2
2665	GDI2
54522	ANKRD16
84893	FBH1
3601	IL15RA
84991	RBM17
5209	PFKFB3
439949	PRKCQ-AS1
100507127	LINC00707
22944	KIN
509	ATP5F1C
83860	TAF3
2625	GATA3
207107	SFTA1P
9712	USP6NL
254427	PROSER2
26019	UPF2
55526	DHTKD1
55176	SEC61A2
11164	NUDT5
8872	CDC123
57118	CAMK1D
10133	OPTN
55388	MCM10
5264	PHYH
22929	SEPHS1
8559	PRPF18
55691	FRMD4A
83641	FAM107B
51182	HSPA14
79723	SUV39H2
64421	DCLRE1C
414149	ACBD7
10557	RPP38
9397	NMT2
80013	MINDY3
9317	PTER
389941	C1QL3
6251	RSU1
1787	TRDMT1
7431	VIM
9200	HACD1
8027	STAM
221078	NSUN6
221079	ARL5B
84898	PLXDC2
10529	NEBL
399726	MIR1915HG
8028	MLLT10
64215	DNAJC1
100130992	LOC100130992
23412	COMMD3
648	BMI1
5305	PIP4K2A
22921	MSRB2
220213	OTUD1
56243	KIAA1217
57584	ARHGAP21
56952	PRTFDC1
219670	ENKUR
79896	THNSL1
57512	GPR158
23590	PDSS1
10006	ABI1
22852	ANKRD26
10730	YME1L1
84930	MASTL
91452	ACBD5
387646	LRRC37A6P
22931	RAB18
143098	MPP7
220906	WAC-AS1
51322	WAC
102724316	SVIL-AS1
6840	SVIL
57608	JCAD
55149	MTPAP
1326	MAP3K8
220929	ZNF438
220930	ZEB1-AS1
94134	ARHGAP12
3799	KIF5B
80314	EPC1
79741	CCDC7
3688	ITGB1
8829	NRP1
56288	PARD3
8453	CUL2
1390	CREM
219771	CCNY
8325	FZD8
57209	ZNF248
219749	ZNF25
7581	ZNF33A
7587	ZNF37A
158160	HSD17B7P2
399744	LINC00999
441666	LOC441666
100129482	ZNF37BP
7582	ZNF33B
9790	BMS1
55454	CSGALNACT2
3185	HNRNPF
642819	ZNF487
8187	ZNF239
220992	ZNF485
7580	ZNF32
83937	RASSF4
11067	DEPP1
220979	ZNF22-AS1
7570	ZNF22
240	ALOX5
220972	MARCHF8
93550	ZFAND4
253725	WASHC2C
119016	AGAP4
728407	PARGP1
100287932	TIMM23
8031	NCOA4
728113	ANXA8L1
643650	LINC00842
728643	HNRNPA1P33
5540	NPY4R
399761	BMS1P1
26095	PTPN20
118738	ZNF488
653145	ANXA8
642517	AGAP9
642826	BMS1P2
100996758	NPY4R2
5599	MAPK8
2074	ERCC6
8505	PARG
100652748	TIMM23B
414189	AGAP6
387680	WASHC2A
56624	ASAH2
259230	SGMS1
653308	ASAH2B
23283	CSTF2T
22943	DKK1
11130	ZWINT
253430	IPMK
55847	CISD1
7321	UBE2D1
7019	TFAM
220963	SLC16A9
8030	CCDC6
288	ANK3
983	CDK1
9886	RHOBTB1
84159	ARID5B
219790	RTKN2
84890	ADO
29982	NRBF2
221037	JMJD1C
221035	REEP3
23411	SIRT1
26091	HERC4
84665	MYPN
64081	PBLD
3189	HNRNPH3
55680	RUFY2
1763	DNA2
8034	SLC25A16
55749	CCAR1
79009	DDX50
9188	DDX21
26128	KIFBP
5552	SRGN
9559	VPS26A
6832	SUPV3L1
80201	HKDC1
3098	HK1
23555	TSPAN15
219738	FAM241B
84883	AIFM2
219743	TYSND1
56681	SAR1A
5464	PPA1
55222	LRRC20
1979	EIF4EBP2
140766	ADAMTS14
8879	SGPL1
5092	PCBD1
219699	UNC5B
728978	UNC5B-AS1
